abalanzar;ekilibrar
potabilizaiste;potabilizaiste
potabilizaió;potabilizaio
potabilizaremos;potabilisaremos
potabilizará;potabilisara
potabilizarán;potabilisaran
potabilizarás;potabilisaras
potabilizaré;potabilisare
potabilizaí;potabilizai
potabilizaía;potabilizaia
potabilizaíamos;potabilizaiamos
potabilizaían;potabilizaian
potabilizaías;potabilizaias
potasio;potasio
potencia;poder
practicar;pratikar
prconizaieron;prkonizaieron
prconizaimos;prkonizaimos
prconizaiste;prkonizaiste
prconizaió;prkonizaio
prconizaremos;prkonisaremos
prconizará;prkonisara
prconizarán;prkonisaran
prconizarás;prkonisaras
prconizaré;prkonisare
prconizaí;prkonizai
prconizaía;prkonizaia
prconizaíamos;prkonizaiamos
prconizaían;prkonizaian
prconizaías;prkonizaias
precalentaieron;prekalentaieron
precalentaimos;prekalentaimos
precalentaiste;prekalentaiste
precalentaió;prekalentaio
precalentaremos;prekalentaremos
precalentará;prekalentara
precalentarán;prekalentaran
precalentarás;prekalentaras
precalentaré;prekalentare
precalentaí;prekalentai
precalentaía;prekalentaia
precalentaíamos;prekalentaiamos
precalentaían;prekalentaian
precalentaías;prekalentaias
precepta;presepta
precepto;presepto
precia;presia
precio;presio
precipicia;presipisia
precipicio;presipisio
precisamente;prechizamente
preciso;prechizo
preconcebieron;prekonsebieron
preconcebimos;prekonsebimos
preconcebiremos;prekonsebiremos
preconcebirá;prekonsebira
preconcebirán;prekonsebiran
preconcebirás;prekonsebiras
preconcebiré;prekonsebire
preconcebiste;prekonsebiste
preconcebió;prekonsebio
preconcebí;prekonsebi
preconcebía;prekonsebia
preconcebíamos;prekonsebiamos
preconcebían;prekonsebian
preconcebías;prekonsebias
predecieron;predesieron
predecimos;predesimos
predeciremos;predeziremos
predecirá;predezira
predecirán;predeziran
predecirás;predeziras
predeciré;predezire
predeciste;predesiste
predeció;predesio
predecí;predeci
predecía;predecia
predecíamos;predeciamos
predecían;predecian
predecías;predecias
predia;proprieta
predicaieron;predikaieron
predicaimos;predikaimos
predicaiste;predikaiste
predicaió;predikaio
predicaremos;predikaremos
predicará;predikara
predicarán;predikaran
predicarás;predikaras
predicaré;predikare
predicaí;predikai
predicaía;predikaia
predicaíamos;predikaiamos
predicaían;predikaian
predicaías;predikaias
predio;proprieta
predisponeremos;predisponeremos
predisponerá;predisponera
predisponerán;predisponeran
predisponerás;predisponeras
predisponeré;predisponere
predisponieron;predisponieron
predisponimos;predisponimos
predisponiste;predisponiste
predisponió;predisponio
predisponí;predisponi
predisponía;predisponia
predisponíamos;predisponiamos
predisponían;predisponian
predisponías;predisponias
preferir;preferar
preguntar;demandar
prejuzgaieron;prejuzgaieron
prejuzgaimos;prejuzgaimos
prejuzgaiste;prejuzgaiste
prejuzgaió;prejuzgaio
prejuzgaremos;prejuzgaremos
prejuzgará;prejuzgara
prejuzgarán;prejuzgaran
prejuzgarás;prejuzgaras
prejuzgaré;prejuzgare
prejuzgaí;prejuzgai
prejuzgaía;prejuzgaia
prejuzgaíamos;prejuzgaiamos
prejuzgaían;prejuzgaian
prejuzgaías;prejuzgaias
preocupación;preokupasion
preocupado;preokupado 
preocuparse;merikiarse
preocuparse;perkurar
prepara;prepara
preparación;preparativos
preparan;aparejan
preparando;aparejando
preparar;aparejar
preparó;aparejo
preposición;prepozision
presentar;prezentar
presente;prezente
presentieron;presentieron
presentimos;presentimos
presentiremos;presentiremos
presentirá;presentira
presentirán;presentiran
presentirás;presentiras
presentiré;presentire
presentiste;presentiste
presentió;presentio
presentí;presenti
presentía;presentia
presentíamos;presentiamos
presentían;presentian
presentías;presentias
preservar;prezervar
prestado;emprestado
presuizaieron;presuizaieron
presuizaimos;presuizaimos
presuizaiste;presuizaiste
presuizaió;presuizaio
presuizaremos;presuisaremos
presuizará;presuisara
presuizarán;presuisaran
presuizarás;presuisaras
presuizaré;presuisare
presuizaí;presuizai
presuizaía;presuizaia
presuizaíamos;presuizaiamos
presuizaían;presuizaian
presuizaías;presuizaias
presuponeremos;presuponeremos
presuponerá;presuponera
presuponerán;presuponeran
presuponerás;presuponeras
presuponeré;presuponere
presuponieron;presuponieron
presuponimos;presuponimos
presuponiste;presuponiste
presuponió;presuponio
presuponí;presuponi
presuponía;presuponia
presuponíamos;presuponiamos
presuponían;presuponian
presuponías;presuponias
pretender;pretender
pretexto;preteksto
prevaleceremos;prevaleseremos
prevalecerá;prevalesera
prevalecerán;prevaleseran
prevalecerás;prevaleseras
prevaleceré;prevalesere
prevalecieron;prevalesieron
prevalecimos;prevalesimos
prevaleciste;prevalesiste
prevaleció;prevalesio
prevalecí;prevalesi
prevalecía;prevalesia
prevalecíamos;prevalesiamos
prevalecían;prevalesian
prevalecías;prevalesias
prevalerseemos;prevalerseemos
prevalerseá;prevalersea
prevalerseán;prevalersean
prevalerseás;prevalerseas
prevalerseé;prevalersee
prevalersieron;prevalersieron
prevalersimos;prevalersimos
prevalersiste;prevalersiste
prevalersió;prevalersio
prevalersí;prevalersi
prevalersía;prevalersia
prevalersíamos;prevalersiamos
prevalersían;prevalersian
prevalersías;prevalersias
prevenieron;prevenieron
prevenimos;prevenimos
preveniremos;preveniremos
prevenirá;prevenira
prevenirán;preveniran
prevenirás;preveniras
preveniré;prevenire
preveniste;preveniste
prevenió;prevenio
prevení;preveni
prevenía;prevenia
preveníamos;preveniamos
prevenían;prevenian
prevenías;prevenias
preveremos;preveremos
preverá;prevera
preverán;preveran
preverás;preveras
preveré;prevere
previeron;previeron
previmos;previmos
previste;previste
previó;previo
preví;previ
prevía;previa
prevíamos;previamos
prevían;previan
prevías;previas
prima;prima
primero;primero 
primo;primo 
primogénita;bohora
primogénito;bohor 
princesa;prensesa
principio;empesijo
principio;prinsipio
pringaieron;pringaieron
pringaimos;pringaimos
pringaiste;pringaiste
pringaió;pringaio
pringaremos;pringaremos
pringará;pringara
pringarán;pringaran
pringarás;pringaras
pringaré;pringare
pringaí;pringai
pringaía;pringaia
pringaíamos;pringaiamos
pringaían;pringaian
pringaías;pringaias
priorizaieron;priorizaieron
priorizaimos;priorizaimos
priorizaiste;priorizaiste
priorizaió;priorizaio
priorizaremos;priorisaremos
priorizará;priorisara
priorizarán;priorisaran
priorizarás;priorisaras
priorizaré;priorisare
priorizaí;priorizai
priorizaía;priorizaia
priorizaíamos;priorizaiamos
priorizaían;priorizaian
priorizaías;priorizaias
prisa;prisa
privación;afrision
privado;privado
privado;privado 
privatizaieron;privatizaieron
privatizaimos;privatizaimos
privatizaiste;privatizaiste
privatizaió;privatizaio
privatizaremos;privatisaremos
privatizará;privatisara
privatizarán;privatisaran
privatizarás;privatisaras
privatizaré;privatisare
privatizaí;privatizai
privatizaía;privatizaia
privatizaíamos;privatizaiamos
privatizaían;privatizaian
privatizaías;privatizaias
probabilidad;probabilidad
probaieron;probaieron
probaimos;probaimos
probaiste;probaiste
probaió;probaio
probaremos;probaremos
probará;probara
probarán;probaran
probarás;probaras
probaré;probare
probaí;probai
probaía;probaia
probaíamos;probaiamos
probaían;probaian
probaías;probaias
problema;probleme
problemas;problemes
prodigaieron;prodigaieron
prodigaimos;prodigaimos
prodigaiste;prodigaiste
prodigaió;prodigaio
prodigaremos;prodigaremos
prodigará;prodigara
prodigarán;prodigaran
prodigarás;prodigaras
prodigaré;prodigare
prodigaí;prodigai
prodigaía;prodigaia
prodigaíamos;prodigaiamos
prodigaían;prodigaian
prodigaías;prodigaias
produce;produse
producen;produsen
produces;produses
producieron;produsieron
producimos;produsimos
producir;produzir
produciremos;produziremos
producirse;produizirse
producirá;produzira
producirán;produziran
producirás;produziras
produciré;produzire
produciste;produsiste
produció;produsio
produco;produko
producí;produci
producía;producia
producíamos;produciamos
producían;producian
producías;producias
proferieron;proferieron
proferimos;proferimos
proferiremos;proferiremos
proferirá;proferira
proferirán;proferiran
proferirás;proferiras
proferiré;proferire
proferiste;proferiste
proferió;proferio
proferí;proferi
profería;proferia
proferíamos;proferiamos
proferían;proferian
proferías;proferias
profesar;profesar
profesional;profesional
profesionalizaieron;profesionalizaieron
profesionalizaimos;profesionalizaimos
profesionalizaiste;profesionalizaiste
profesionalizaió;profesionalizaio
profesionalizaremos;profesionalisaremos
profesionalizará;profesionalisara
profesionalizarán;profesionalisaran
profesionalizarás;profesionalisaras
profesionalizaré;profesionalisare
profesionalizaí;profesionalizai
profesionalizaía;profesionalizaia
profesionalizaíamos;profesionalizaiamos
profesionalizaían;profesionalizaian
profesionalizaías;profesionalizaias
profesor;profesor
profetizaieron;profetizaieron
profetizaimos;profetizaimos
profetizaiste;profetizaiste
profetizaió;profetizaio
profetizaremos;profetisaremos
profetizará;profetisara
profetizarán;profetisaran
profetizarás;profetisaras
profetizaré;profetisare
profetizaí;profetizai
profetizaía;profetizaia
profetizaíamos;profetizaiamos
profetizaían;profetizaian
profetizaías;profetizaias
profundizaieron;profundizaieron
profundizaimos;profundizaimos
profundizaiste;profundizaiste
profundizaió;profundizaio
profundizaremos;profundisaremos
profundizará;profundisara
profundizarán;profundisaran
profundizarás;profundisaras
profundizaré;profundisare
profundizaí;profundizai
profundizaía;profundizaia
profundizaíamos;profundizaiamos
profundizaían;profundizaian
profundizaías;profundizaias
profundo;profundo
progenitores;djenitores
programa;programa
progresar;progresar
prohibieron;proibieron
prohibimos;proibimos
prohibiremos;proibiremos
prohibirá;proibira
prohibirán;proibiran
prohibirás;proibiras
prohibiré;proibire
prohibiste;proibiste
prohibió;proibio
prohibí;proibi
prohibía;proibia
prohibíamos;proibiamos
prohibían;proibian
prohibías;proibias
prohijaieron;proijaieron
prohijaimos;proijaimos
prohijaiste;proijaiste
prohijaió;proijaio
prohijaremos;proijaremos
prohijará;proijara
prohijarán;proijaran
prohijarás;proijaras
prohijaré;proijare
prohijaí;proijai
prohijaía;proijaia
prohijaíamos;proijaiamos
prohijaían;proijaian
prohijaías;proijaias
prolongación;prolungasion
prolongar;prolungar
prometer;prometer
promoveremos;promoveremos
promoverá;promovera
promoverán;promoveran
promoverás;promoveras
promoveré;promovere
promovieron;promovieron
promovimos;promovimos
promoviste;promoviste
promovió;promovio
promoví;promovi
promovía;promovia
promovíamos;promoviamos
promovían;promovian
promovías;promovias
promulgaieron;promulgaieron
promulgaimos;promulgaimos
promulgaiste;promulgaiste
promulgaió;promulgaio
promulgaremos;promulgaremos
promulgará;promulgara
promulgarán;promulgaran
promulgarás;promulgaras
promulgaré;promulgare
promulgaí;promulgai
promulgaía;promulgaia
promulgaíamos;promulgaiamos
promulgaían;promulgaian
promulgaías;promulgaias
pronostica;prevista
pronosticaieron;pronostikaieron
pronosticaimos;pronostikaimos
pronosticaiste;pronostikaiste
pronosticaió;pronostikaio
pronosticaremos;pronostikaremos
pronosticará;pronostikara
pronosticarán;pronostikaran
pronosticarás;pronostikaras
pronosticaré;pronostikare
pronosticaí;pronostikai
pronosticaía;pronostikaia
pronosticaíamos;pronostikaiamos
pronosticaían;pronostikaian
pronosticaías;pronostikaias
pronostico;previsto
pronto;presto
pronunciar;pronunsiar
propagaieron;propagaieron
propagaimos;propagaimos
propagaiste;propagaiste
propagaió;propagaio
propagaremos;propagaremos
propagará;propagara
propagarán;propagaran
propagarás;propagaras
propagaré;propagare
propagaí;propagai
propagaía;propagaia
propagaíamos;propagaiamos
propagaían;propagaian
propagaías;propagaias
propio;apropiado
proponer;propozar
proposición;propozision
propuesta;propozision
prorrogaieron;prorrogaieron
prorrogaimos;prorrogaimos
prorrogaiste;prorrogaiste
prorrogaió;prorrogaio
prorrogaremos;prorrogaremos
prorrogará;prorrogara
prorrogarán;prorrogaran
prorrogarás;prorrogaras
prorrogaré;prorrogare
prorrogaí;prorrogai
prorrogaía;prorrogaia
prorrogaíamos;prorrogaiamos
prorrogaían;prorrogaian
prorrogaías;prorrogaias
proseguir;kontinuar
prosperidad;prosperidad
prostituieron;prostituieron
prostituimos;prostituimos
prostituiremos;prostituiremos
prostituirá;prostituira
prostituirán;prostituiran
prostituirás;prostituiras
prostituiré;prostituire
prostituiste;prostituiste
prostituió;prostituio
prostituí;prostitui
prostituía;prostituia
prostituíamos;prostituiamos
prostituían;prostituian
prostituías;prostituias
protagonizaieron;protagonizaieron
protagonizaimos;protagonizaimos
protagonizaiste;protagonizaiste
protagonizaió;protagonizaio
protagonizaremos;protagonisaremos
protagonizará;protagonisara
protagonizarán;protagonisaran
protagonizarás;protagonisaras
protagonizaré;protagonisare
protagonizaí;protagonizai
protagonizaía;protagonizaia
protagonizaíamos;protagonizaiamos
protagonizaían;protagonizaian
protagonizaías;protagonizaias
protegeremos;protedjeremos
protegernos;protejarmos
protegerá;protedjera
protegerán;protedjeran
protegerás;protedjeras
protegeré;protedjere
protegieron;protedjieron
protegimos;protedjimos
protegiste;protedjiste
protegió;protedjio
protegí;protedji
protegía;protedjia
protegíamos;protedjiamos
protegían;protedjian
protegías;protedjias
protestar;protestar
provene;provene
provenen;provenen
provenes;provenes
provenieron;provenieron
provenimos;provenimos
provenir;provenir
proveniremos;proveniremos
provenirá;provenira
provenirán;proveniran
provenirás;proveniras
proveniré;provenire
proveniste;proveniste
provenió;provenio
proveno;proveno
provení;proveni
provenía;provenia
proveníamos;proveniamos
provenían;provenian
provenías;provenias
proverbia;proverbia
proverbio;proverbio
provincia;provensia
provocaieron;provokaieron
provocaimos;provokaimos
provocaiste;provokaiste
provocaió;provokaio
provocaremos;provokaremos
provocará;provokara
provocarán;provokaran
provocarás;provokaras
provocaré;provokare
provocaí;provokai
provocaía;provokaia
provocaíamos;provokaiamos
provocaían;provokaian
provocaías;provokaias
proyecta;prodjekta
proyecto;prodjekto
prueba;prova
práctico;pratiko
próspero;prospero
próxima;serka
próximo;el de despues
psicoanalizaieron;psikoanalizaieron
psicoanalizaimos;psikoanalizaimos
psicoanalizaiste;psikoanalizaiste
psicoanalizaió;psikoanalizaio
psicoanalizaremos;psikoanalisaremos
psicoanalizará;psikoanalisara
psicoanalizarán;psikoanalisaran
psicoanalizarás;psikoanalisaras
psicoanalizaré;psikoanalisare
psicoanalizaí;psikoanalizai
psicoanalizaía;psikoanalizaia
psicoanalizaíamos;psikoanalizaiamos
psicoanalizaían;psikoanalizaian
psicoanalizaías;psikoanalizaias
psiquiatría;psikiatriya
publica;publika
publicaba;publikaba
publicaban;publikaban
publicabas;publikabas
publicamos;publikamos
publican;publikan
publicar;publikar
publicaremos;publikaremos
publicaron;publikaron
publicará;publikara
publicarán;publikaran
publicarás;publikaras
publicaré;publikare
publicas;publikas
publicaste;publikaste
publico;publiko
publicábamos;publicabamos
publicé;publice
publicó;publico
pudiendo;podiendo
puebla;kazaa
puebla;puevla
pueblerino;kazalino
pueblo;kazal
pueblo;puevlo
puedan;puedan
puedes;puedes
puedo;puedo
puente;ponte
puentes;pontes
puerra;prasa
puerro;prasa
puerta;puerta
pues;portanto
puesto;kontuar
pulmones;pulmones
pulverizaieron;pulverizaieron
pulverizaimos;pulverizaimos
pulverizaiste;pulverizaiste
pulverizaió;pulverizaio
pulverizaremos;pulverisaremos
pulverizará;pulverisara
pulverizarán;pulverisaran
pulverizarás;pulverisaras
pulverizaré;pulverisare
pulverizaí;pulverizai
pulverizaía;pulverizaia
pulverizaíamos;pulverizaiamos
pulverizaían;pulverizaian
pulverizaías;pulverizaias
punta;punta
punto;punto
puntuaieron;puntuaieron
puntuaimos;puntuaimos
puntuaiste;puntuaiste
puntuaió;puntuaio
puntualizaieron;puntualizaieron
puntualizaimos;puntualizaimos
puntualizaiste;puntualizaiste
puntualizaió;puntualizaio
puntualizaremos;puntualisaremos
puntualizará;puntualisara
puntualizarán;puntualisaran
puntualizarás;puntualisaras
puntualizaré;puntualisare
puntualizaí;puntualizai
puntualizaía;puntualizaia
puntualizaíamos;puntualizaiamos
puntualizaían;puntualizaian
puntualizaías;puntualizaias
puntuaremos;puntuaremos
puntuará;puntuara
puntuarán;puntuaran
puntuarás;puntuaras
puntuaré;puntuare
puntuaí;puntuai
puntuaía;puntuaia
puntuaíamos;puntuaiamos
puntuaían;puntuaian
puntuaías;puntuaias
punzaieron;punzaieron
punzaimos;punzaimos
punzaiste;punzaiste
punzaió;punzaio
punzaremos;punsaremos
punzará;punsara
punzarán;punsaran
punzarás;punsaras
punzaré;punsare
punzaí;punzai
punzaía;punzaia
punzaíamos;punzaiamos
punzaían;punzaian
punzaías;punzaias
purgaieron;purgaieron
purgaimos;purgaimos
purgaiste;purgaiste
purgaió;purgaio
purgaremos;purgaremos
purgará;purgara
purgarán;purgaran
purgarás;purgaras
purgaré;purgare
purgaí;purgai
purgaía;purgaia
purgaíamos;purgaiamos
purgaían;purgaian
purgaías;purgaias
purificaieron;purifikaieron
purificaimos;purifikaimos
purificaiste;purifikaiste
purificaió;purifikaio
purificaremos;purifikaremos
purificará;purifikara
purificarán;purifikaran
purificarás;purifikaras
purificaré;purifikare
purificaí;purifikai
purificaía;purifikaia
purificaíamos;purifikaiamos
purificaían;purifikaian
purificaías;purifikaias
puña;punya
puñetes;mansheta
puño;punyo
página;oja
pájara;pashara
pájaro;pasharo
párpada;parpara
párpado;parparo
pésaj;Pesah
pólvora;polvora
púa;punchon
público;publiko
que;ke
quebraieron;kebraieron
quebraimos;kebraimos
quebraiste;kebraiste
quebraió;kebraio
quebraremos;kebraremos
quebrará;kebrara
quebrarán;kebraran
quebrarás;kebraras
quebraré;kebrare
quebraí;kebrai
quebraía;kebraia
quebraíamos;kebraiamos
quebraían;kebraian
quebraías;kebraias
quedar;kedar
quedarse;kedarse
quejarse;kesharse
quema;kema
quemado;kemado 
quemar;kemar
queremos;keremos
querer;kerer
quereremos;kereremos
quererá;kerera
quererán;kereran
quererás;kereras
quereré;kerere
querido;kerido
quería;keria
queríamos;keriamos
querían;kerian
querías;kerias
quesa;keza
queso;kezo
quien;ken
quiere;kiere
quieren;keren
quieres;kieres
quiero;kiero
quieto;kalmo
quimera;fantezia
quince;kinze
quinientos;kinyentos
quinto;sinken
quise;kise
quisieron;kisieron
quisimos;kisimos
quisiste;kisiste
quiso;kiso
quitar;kitar
quién;ken
química;kimika
químico;kimiko
rabina;hahaa
rabino;haham
racionalizaieron;rasionalizaieron
racionalizaimos;rasionalizaimos
racionalizaiste;rasionalizaiste
racionalizaió;rasionalizaio
racionalizaremos;rasionalisaremos
racionalizará;rasionalisara
racionalizarán;rasionalisaran
racionalizarás;rasionalisaras
racionalizaré;rasionalisare
racionalizaí;rasionalizai
racionalizaía;rasionalizaia
racionalizaíamos;rasionalizaiamos
racionalizaían;rasionalizaian
racionalizaías;rasionalizaias
racisma;rasizma
racismo;rasizmo
radicaieron;radikaieron
radicaimos;radikaimos
radicaiste;radikaiste
radicaió;radikaio
radicaremos;radikaremos
radicará;radikara
radicarán;radikaran
radicarás;radikaras
radicaré;radikare
radicaí;radikai
radicaía;radikaia
radicaíamos;radikaiamos
radicaían;radikaian
radicaías;radikaias
radio;radio
radiografiaieron;radiografiaieron
radiografiaimos;radiografiaimos
radiografiaiste;radiografiaiste
radiografiaió;radiografiaio
radiografiaremos;radiografiaremos
radiografiará;radiografiara
radiografiarán;radiografiaran
radiografiarás;radiografiaras
radiografiaré;radiografiare
radiografiaí;radiografiai
radiografiaía;radiografiaia
radiografiaíamos;radiografiaiamos
radiografiaían;radiografiaian
radiografiaías;radiografiaias
raeremos;raeremos
raerá;raera
raerán;raeran
raerás;raeras
raeré;raere
raieron;raieron
raimos;raimos
raiste;raiste
raió;raio
rallador;rayador
rallar;rayar
rama;ramo
rambla;avenida
ramificaieron;ramifikaieron
ramificaimos;ramifikaimos
ramificaiste;ramifikaiste
ramificaió;ramifikaio
ramificaremos;ramifikaremos
ramificarseemos;ramifikarseemos
ramificarseá;ramifikarsea
ramificarseán;ramifikarsean
ramificarseás;ramifikarseas
ramificarseé;ramifikarsee
ramificarsieron;ramifikarsieron
ramificarsimos;ramifikarsimos
ramificarsiste;ramifikarsiste
ramificarsió;ramifikarsio
ramificarsí;ramifikarsi
ramificarsía;ramifikarsia
ramificarsíamos;ramifikarsiamos
ramificarsían;ramifikarsian
ramificarsías;ramifikarsias
ramificará;ramifikara
ramificarán;ramifikaran
ramificarás;ramifikaras
ramificaré;ramifikare
ramificaí;ramifikai
ramificaía;ramifikaia
ramificaíamos;ramifikaiamos
ramificaían;ramifikaian
ramificaías;ramifikaias
rascaieron;raskaieron
rascaimos;raskaimos
rascaiste;raskaiste
rascaió;raskaio
rascaremos;raskaremos
rascarse;arraskarse
rascará;raskara
rascarán;raskaran
rascarás;raskaras
rascaré;raskare
rascaí;raskai
rascaía;raskaia
rascaíamos;raskaiamos
rascaían;raskaian
rascaías;raskaias
rasgar;arrazgar
rata;raton
rata;tiempa
ratificaieron;ratifikaieron
ratificaimos;ratifikaimos
ratificaiste;ratifikaiste
ratificaió;ratifikaio
ratificaremos;ratifikaremos
ratificará;ratifikara
ratificarán;ratifikaran
ratificarás;ratifikaras
ratificaré;ratifikare
ratificaí;ratifikai
ratificaía;ratifikaia
ratificaíamos;ratifikaiamos
ratificaían;ratifikaian
ratificaías;ratifikaias
rato;tiempo
raya;raya
rayo;rayo
raza;rasa
razón;razon
raí;rai
raía;raia
raíamos;raiamos
raían;raian
raías;raias
raíz;rais
real;real
realiza;realiza
realizaba;realizaba
realizaban;realizaban
realizabas;realizabas
realizamos;realizamos
realizan;realizan
realizar;realizar
realizaremos;realisaremos
realizaron;realisaron
realizará;realisara
realizarán;realisaran
realizarás;realisaras
realizaré;realisare
realizas;realizas
realizaste;realizaste
realizo;realizo
realizábamos;realizabamos
realizé;realize
realizó;realizo
realmente;realmente
realzaieron;realzaieron
realzaimos;realzaimos
realzaiste;realzaiste
realzaió;realzaio
realzaremos;realsaremos
realzará;realsara
realzarán;realsaran
realzarás;realsaras
realzaré;realsare
realzaí;realzai
realzaía;realzaia
realzaíamos;realzaiamos
realzaían;realzaian
realzaías;realzaias
reapareceremos;reapareseremos
reaparecerá;reaparesera
reaparecerán;reapareseran
reaparecerás;reapareseras
reapareceré;reaparesere
reaparecieron;reaparesieron
reaparecimos;reaparesimos
reapareciste;reaparesiste
reapareció;reaparesio
reaparecí;reaparesi
reaparecía;reaparesia
reaparecíamos;reaparesiamos
reaparecían;reaparesian
reaparecías;reaparesias
reargüieron;rearguieron
reargüimos;rearguimos
reargüiremos;rearguiremos
reargüirá;rearguira
reargüirán;rearguiran
reargüirás;rearguiras
reargüiré;rearguire
reargüiste;rearguiste
reargüió;rearguio
reargüí;reargui
reargüía;rearguia
reargüíamos;rearguiamos
reargüían;rearguian
reargüías;rearguias
rebelión;rebelion
reblandeceremos;reblandeseremos
reblandecerá;reblandesera
reblandecerán;reblandeseran
reblandecerás;reblandeseras
reblandeceré;reblandesere
reblandecieron;reblandesieron
reblandecimos;reblandesimos
reblandeciste;reblandesiste
reblandeció;reblandesio
reblandecí;reblandesi
reblandecía;reblandesia
reblandecíamos;reblandesiamos
reblandecían;reblandesian
reblandecías;reblandesias
rebozaieron;rebozaieron
rebozaimos;rebozaimos
rebozaiste;rebozaiste
rebozaió;rebozaio
rebozaremos;rebosaremos
rebozará;rebosara
rebozarán;rebosaran
rebozarás;rebosaras
rebozaré;rebosare
rebozaí;rebozai
rebozaía;rebozaia
rebozaíamos;rebozaiamos
rebozaían;rebozaian
rebozaías;rebozaias
rebullieron;rebuyieron
rebullimos;rebuyimos
rebulliremos;rebuyiremos
rebullirá;rebuyira
rebullirán;rebuyiran
rebullirás;rebuyiras
rebulliré;rebuyire
rebulliste;rebuyiste
rebullió;rebuyio
rebullí;rebuyi
rebullía;rebuyia
rebullíamos;rebuyiamos
rebullían;rebuyian
rebullías;rebuyias
rebuscaieron;rebuskaieron
rebuscaimos;rebuskaimos
rebuscaiste;rebuskaiste
rebuscaió;rebuskaio
rebuscaremos;rebuskaremos
rebuscará;rebuskara
rebuscarán;rebuskaran
rebuscarás;rebuskaras
rebuscaré;rebuskare
rebuscaí;rebuskai
rebuscaía;rebuskaia
rebuscaíamos;rebuskaiamos
rebuscaían;rebuskaian
rebuscaías;rebuskaias
recaeremos;rekaeremos
recaerá;rekaera
recaerán;rekaeran
recaerás;rekaeras
recaeré;rekaere
recaieron;rekaieron
recaimos;rekaimos
recaiste;rekaiste
recaió;rekaio
recalcaieron;rekalkaieron
recalcaimos;rekalkaimos
recalcaiste;rekalkaiste
recalcaió;rekalkaio
recalcaremos;rekalkaremos
recalcará;rekalkara
recalcarán;rekalkaran
recalcarás;rekalkaras
recalcaré;rekalkare
recalcaí;rekalkai
recalcaía;rekalkaia
recalcaíamos;rekalkaiamos
recalcaían;rekalkaian
recalcaías;rekalkaias
recalentaieron;rekalentaieron
recalentaimos;rekalentaimos
recalentaiste;rekalentaiste
recalentaió;rekalentaio
recalentaremos;rekalentaremos
recalentará;rekalentara
recalentarán;rekalentaran
recalentarás;rekalentaras
recalentaré;rekalentare
recalentaí;rekalentai
recalentaía;rekalentaia
recalentaíamos;rekalentaiamos
recalentaían;rekalentaian
recalentaías;rekalentaias
recargaieron;rekargaieron
recargaimos;rekargaimos
recargaiste;rekargaiste
recargaió;rekargaio
recargaremos;rekargaremos
recargará;rekargara
recargarán;rekargaran
recargarás;rekargaras
recargaré;rekargare
recargaí;rekargai
recargaía;rekargaia
recargaíamos;rekargaiamos
recargaían;rekargaian
recargaías;rekargaias
recaí;rekai
recaía;rekaia
recaíamos;rekaiamos
recaían;rekaian
recaías;rekaias
receta;recheta
receta;resefta
rechazaieron;rekazaieron
rechazaimos;rekazaimos
rechazaiste;rekazaiste
rechazaió;rekazaio
rechazaremos;rekasaremos
rechazará;rekasara
rechazarán;rekasaran
rechazarás;rekasaras
rechazaré;rekasare
rechazaí;rekazai
rechazaía;rekazaia
rechazaíamos;rekazaiamos
rechazaían;rekazaian
rechazaías;rekazaias
recibir;resivir
recio;rezio
recluieron;recluieron
recluimos;recluimos
recluiremos;recluiremos
recluirá;recluira
recluirán;recluiran
recluirás;recluiras
recluiré;recluire
recluiste;recluiste
recluió;recluio
recluí;reclui
recluía;recluia
recluíamos;recluiamos
recluían;recluian
recluías;recluias
recoger;tomar
recomendaieron;rekomendaieron
recomendaimos;rekomendaimos
recomendaiste;rekomendaiste
recomendaió;rekomendaio
recomendaremos;rekomendaremos
recomendará;rekomendara
recomendarán;rekomendaran
recomendarás;rekomendaras
recomendaré;rekomendare
recomendaí;rekomendai
recomendaía;rekomendaia
recomendaíamos;rekomendaiamos
recomendaían;rekomendaian
recomendaías;rekomendaias
recomenzaieron;rekomenzaieron
recomenzaimos;rekomenzaimos
recomenzaiste;rekomenzaiste
recomenzaió;rekomenzaio
recomenzaremos;rekomensaremos
recomenzará;rekomensara
recomenzarán;rekomensaran
recomenzarás;rekomensaras
recomenzaré;rekomensare
recomenzaí;rekomenzai
recomenzaía;rekomenzaia
recomenzaíamos;rekomenzaiamos
recomenzaían;rekomenzaian
recomenzaías;rekomenzaias
reconoceremos;rekonoseremos
reconocerá;rekonosera
reconocerán;rekonoseran
reconocerás;rekonoseras
reconoceré;rekonosere
reconocieron;rekonosieron
reconocimos;rekonosimos
reconociste;rekonosiste
reconoció;rekonosio
reconocí;rekonosi
reconocía;rekonosia
reconocíamos;rekonosiamos
reconocían;rekonosian
reconocías;rekonosias
reconstruieron;rekonstruieron
reconstruimos;rekonstruimos
reconstruiremos;rekonstruiremos
reconstruirá;rekonstruira
reconstruirán;rekonstruiran
reconstruirás;rekonstruiras
reconstruiré;rekonstruire
reconstruiste;rekonstruiste
reconstruió;rekonstruio
reconstruí;rekonstrui
reconstruía;rekonstruia
reconstruíamos;rekonstruiamos
reconstruían;rekonstruian
reconstruías;rekonstruias
recontaieron;rekontaieron
recontaimos;rekontaimos
recontaiste;rekontaiste
recontaió;rekontaio
recontaremos;rekontaremos
recontará;rekontara
recontarán;rekontaran
